DDE_TYPE	DDE_NUM	CREATED	NB_VERSIONS
Bogue	BEA-1060	2016-07-06 11:23:55	1
Story	BEA-1064	2016-07-07 14:42:46	1
Story	BEA-1085	2016-07-28 15:10:49	1
Story	BEA-1089	2016-08-01 12:29:55	1
Story	BEA-1093	2016-08-10 13:39:00	1
Bogue	BEA-1094	2016-08-10 16:43:08	1
Story	BEA-1098	2016-08-25 17:20:02	1
Story	BEA-1099	2016-08-25 17:25:27	1
Story	BEA-1100	2016-08-25 17:26:37	1
Story	BEA-1101	2016-08-25 17:30:06	1
Story	BEA-1102	2016-08-25 19:04:33	1
Story	BEA-1103	2016-08-29 14:15:21	1
Story	BEA-1104	2016-08-29 14:17:52	1
Bogue	BEA-1105	2016-08-29 16:06:41	1
Story	BEA-1106	2016-08-30 11:51:35	1
Story	BEA-1108	2016-08-31 14:01:05	1
Story	BEA-1109	2016-09-02 15:43:45	1
Story	BEA-1110	2016-09-02 15:50:30	1
Story	BEA-1111	2016-09-05 09:29:40	1
Story	BEA-1112	2016-09-05 09:49:29	1
Story	BEA-1113	2016-09-05 10:07:14	1
Bogue	BEA-1115	2016-09-08 10:38:37	2
Bogue	BEA-1116	2016-09-08 10:54:46	1
Bogue	BEA-1117	2016-09-08 15:21:14	3
Story	BEA-1126	2016-09-14 14:58:43	1
Story	BEA-1127	2016-09-14 15:03:01	1
Story	BEA-1128	2016-09-14 15:06:55	1
Story	BEA-1129	2016-09-14 15:09:27	1
Story	BEA-1130	2016-09-14 15:13:06	2
Story	BEA-1131	2016-09-14 15:18:21	1
Story	BEA-1132	2016-09-15 10:22:48	1
Story	BEA-1133	2016-09-15 10:25:18	1
Story	BEA-1134	2016-09-15 14:19:41	1
Story	BEA-1135	2016-09-15 16:23:24	1
Sous-tâche	BEA-1143	2016-09-16 11:28:21	1
Bogue	BEA-1150	2016-09-21 11:48:56	1
Story	BEA-1164	2016-10-06 13:53:07	1
Story	BEA-1166	2016-10-06 18:06:33	1
Story	BEA-1167	2016-10-07 09:01:23	1
Story	BEA-1170	2016-10-10 17:11:58	1
Story	BEA-1171	2016-10-10 17:18:36	1
Story	BEA-1172	2016-10-10 17:21:34	1
Bogue	BEA-1176	2016-10-12 14:17:31	1
Bogue	BEA-1177	2016-10-12 17:22:34	1
Story	BEA-1178	2016-10-13 09:17:06	1
Bogue	BEA-1180	2016-10-13 15:17:18	2
Bogue	BEA-1181	2016-10-17 10:22:24	1
Bogue	BEA-1183	2016-10-19 11:53:39	2
Bogue	BEA-1184	2016-10-19 11:56:50	1
Bogue	BEA-1185	2016-10-20 10:15:23	1
Bogue	BEA-1186	2016-10-21 12:04:10	1
Bogue	BEA-1187	2016-10-24 18:37:50	1
Bogue	BEA-1188	2016-10-25 17:39:39	1
Bogue	BEA-1189	2016-10-25 18:02:32	1
Bogue	BEA-1191	2016-10-26 15:09:46	1
Bogue	BEA-1197	2016-11-02 15:36:40	1
Story	BEA-1201	2016-11-09 11:58:22	1
Bogue	BEA-1207	2016-11-14 11:12:50	1
Story	BEA-1211	2016-11-15 17:31:30	1
Story	BEA-1217	2016-11-24 09:53:40	1
Bogue	BEA-1219	2016-11-29 16:59:28	2
Bogue	BEA-1225	2016-12-07 11:43:04	1
Story	BEA-1226	2016-12-08 15:36:09	1
Story	BEA-1228	2016-12-13 11:03:47	1
Bogue	BEA-1229	2016-12-14 11:16:03	1
Story	BEA-1232	2016-12-16 10:15:21	1
Story	BEA-1233	2016-12-16 10:52:07	1
Story	BEA-1240	2016-12-22 12:02:23	1
Story	BEA-1241	2016-12-23 10:49:19	1
Story	BEA-1242	2016-12-28 14:45:28	1
Story	BEA-1243	2016-12-29 11:26:06	1
Bogue	BEA-1297	2017-01-05 10:14:23	1
Bogue	BEA-1300	2017-01-05 16:25:44	1
Bogue	BEA-1303	2017-01-06 17:08:28	1
Story	BEA-1320	2017-01-31 11:43:46	1
Story	BEA-1324	2017-02-02 13:38:13	1
Bogue	BEA-1325	2017-02-02 16:21:23	1
Bogue	BEA-1340	2017-02-07 16:38:06	1
Story	BEA-1349	2017-02-08 17:14:44	1
Story	BEA-364	2016-09-07 15:55:17	2
Bogue	BEA-365	2016-09-07 16:07:35	1
Story	BEA-366	2016-09-07 16:41:13	1
Story	BEA-367	2016-09-08 12:16:08	2
Story	BEA-368	2016-09-08 12:17:11	3
Bogue	BEA-369	2016-09-08 15:15:02	1
Bogue	BEA-370	2016-09-08 18:44:58	2
Story	BEA-75	2016-08-08 14:55:40	2
Story	BOA-1195	2016-07-01 09:00:20	1
Bogue	BOA-1196	2016-07-06 10:48:16	1
Bogue	BOA-1199	2016-07-18 16:35:54	1
Bogue	BOA-1202	2016-07-27 12:03:11	1
Bogue	BOA-1203	2016-08-03 17:39:54	1
Story	BOA-1272	2016-07-19 15:27:27	1
Bogue	BOA-1281	2016-09-14 12:01:52	1
Bogue	BOA-1282	2016-09-14 15:55:43	1
Bogue	BOA-1283	2016-09-15 09:46:13	1
Bogue	BOA-1285	2016-09-16 10:56:44	1
Bogue	BOA-1286	2016-09-16 11:46:34	1
Bogue	BOA-1287	2016-09-16 15:24:53	1
Bogue	BOA-1288	2016-09-16 16:51:18	1
Bogue	BOA-1289	2016-09-16 17:01:06	1
Story	BOA-1290	2016-09-20 11:05:39	1
Story	BOA-1292	2016-09-27 16:43:43	1
Bogue	BOA-1293	2016-09-28 14:44:46	1
Bogue	BOA-1294	2016-09-28 15:25:31	1
Bogue	BOA-1295	2016-09-28 16:29:09	1
Bogue	BOA-1297	2016-09-30 14:40:56	1
Bogue	BOA-1298	2016-09-30 14:46:36	1
Story	BOA-1299	2016-10-03 12:01:00	1
Story	BOA-1320	2016-10-14 15:27:49	1
Story	BOA-1357	2016-12-22 13:43:58	3
Story	BOA-1365	2017-01-20 15:02:44	1
Bogue	EXTR-280	2016-07-05 08:42:21	1
Bogue	EXTR-282	2016-07-26 13:43:05	1
