VERSION_LIVREE	DDE_NUM
2.23.0	BEA-1060
2.24.0	BEA-1064
2.24.0	BEA-1098
2.24.0	BEA-1099
2.24.0	BEA-1100
2.24.0	BEA-1101
2.24.0	BEA-1102
2.24.0	BEA-1103
2.24.0	BEA-1104
2.24.0	BEA-1105
2.24.0	BEA-1106
2.24.0	BEA-1109
2.24.0	BEA-1110
2.24.0	BEA-1111
2.24.0	BEA-1112
2.24.0	BEA-1113
2.24.0	BEA-1115
2.24.0	BEA-1116
2.24.0	BEA-1117
2.24.0	BEA-1124
2.24.0	BEA-1126
2.24.0	BEA-1127
2.24.0	BEA-1128
2.24.0	BEA-1129
2.24.0	BEA-1130
2.24.0	BEA-1131
2.24.0	BEA-1132
2.24.0	BEA-1133
2.24.0	BEA-1134
2.24.0	BEA-1135
2.24.0	BEA-1143
2.24.0	BEA-1150
2.24.0	BEA-1164
2.24.0	BEA-1166
2.24.0	BEA-1167
2.24.0	BEA-1176
2.24.0	BEA-1177
2.24.0	BEA-1178
2.24.0	BEA-1180
2.24.0	BEA-1181
2.24.0	BEA-1183
2.24.0	BEA-1184
2.24.0	BEA-1185
2.24.0	BEA-1186
2.24.0	BEA-1187
2.24.0	BEA-1188
2.24.0	BEA-1197
2.24.0	BEA-1201
2.24.0	BEA-1219
2.24.0	BEA-1229
2.24.0	BEA-191
2.24.0	BEA-258
2.24.0	BEA-343
2.24.0	BEA-348
2.24.0	BEA-364
2.24.0	BEA-365
2.24.0	BEA-366
2.24.0	BEA-367
2.24.0	BEA-368
2.24.0	BEA-369
2.24.0	BEA-370
2.24.0	BEA-75
2.24.0	BEA-884
2.24.0	BEA-935
2.24.1	BEA-1183
2.24.2	BEA-1211
2.24.3	BEA-1207
2.24.5	BEA-1130
2.24.5	BEA-1228
2.24.5	BEA-1232
2.24.5	BEA-1303
2.25.0	BEA-1085
2.25.0	BEA-1094
2.25.0	BEA-1117
2.25.0	BEA-1170
2.25.0	BEA-1171
2.25.0	BEA-1172
2.25.0	BEA-1180
2.25.0	BEA-1189
2.25.0	BEA-1217
2.25.0	BEA-1218
2.25.0	BEA-1219
2.25.0	BEA-1225
2.25.0	BEA-1233
2.25.0	BEA-1240
2.25.0	BEA-1242
2.25.0	BEA-1243
2.25.0	BEA-1297
2.25.0	BEA-1300
2.25.0	BEA-1325
2.25.0	BEA-1340
2.25.0	BEA-258
2.25.0	BEA-295
2.25.0	BEA-368
2.25.0	BEA-75
2.25.0	BEA-935
2.25.0	BEA-958
2.25.0	BEA-975
2.25.0	BEA-976
2.25.0	BEA-977
2.25.0	BEA-978
2.26.0	BEA-1055
2.26.0	BEA-1089
2.26.0	BEA-1093
2.26.0	BEA-1108
2.26.0	BEA-1191
2.26.0	BEA-1226
2.26.0	BEA-1241
2.26.0	BEA-1320
2.26.0	BEA-1324
2.26.0	BEA-1349
2.26.0	BEA-979
2.26.0	BEA-985
2.26.0	BEA-986
3.10.0	BOA-1357
3.19.0	BEA-1218
3.19.0	BOA-1129
3.19.0	BOA-1176
3.19.0	BOA-1181
3.19.0	BOA-1188
3.19.0	BOA-1191
3.19.0	BOA-1195
3.19.0	BOA-1196
3.19.0	BOA-1199
3.19.0	BOA-1202
3.19.0	BOA-1203
3.19.0	BOA-1272
3.19.0	BOA-1281
3.19.0	BOA-1282
3.19.0	BOA-1283
3.19.0	BOA-1285
3.19.0	BOA-1286
3.19.0	BOA-1287
3.19.0	BOA-1288
3.19.0	BOA-1289
3.19.0	BOA-1290
3.19.0	BOA-1292
3.19.0	BOA-1293
3.19.0	BOA-1294
3.19.0	BOA-1295
3.19.0	BOA-1297
3.19.0	BOA-1298
3.19.0	BOA-1299
3.19.0	BOA-29
3.19.0	EXTR-801
3.20	BOA-1357
3.20.0	BOA-32
3.21	BOA-1365
