DDE_TYPE	DDE_NUM	CREATED	RESOLUTION	NB_VERSIONS	DERNIERE_VERSION	STORY_POINTS
Sous-tâche	BDL-3	2016-10-18 16:59:52	Terminé	0	NULL	NULL
Bogue	BEA-1000	2016-04-13 11:53:23	Won't Do	0	NULL	NULL
Bogue	BEA-1086	2016-08-01 12:17:50	Doublon	0	NULL	NULL
Story	BEA-1089	2016-08-01 12:29:55	Terminé	1	2.26.0	2
Bogue	BEA-1115	2016-09-08 10:38:37	Won't Do	2	9999 - PARKING	NULL
Story	BEA-1129	2016-09-14 15:09:27	Terminé	1	2.24.0	0.5
Bogue	BEA-114	2011-10-24 12:46:39	NULL	0	NULL	NULL
Bogue	BEA-1159	2016-10-03 13:32:19	Terminé	0	NULL	NULL
Bogue	BEA-1184	2016-10-19 11:56:50	Terminé	1	2.24.0	NULL
Story	BEA-1228	2016-12-13 11:03:47	Terminé	1	2.24.5	NULL
Story	BEA-1232	2016-12-16 10:15:21	Terminé	1	2.24.5	5
Story	BEA-129	2012-04-19 17:26:54	NULL	0	NULL	NULL
Bogue	BEA-1302	2017-01-05 17:55:36	Doublon	0	NULL	NULL
Bogue	BEA-1303	2017-01-06 17:08:28	Terminé	1	2.24.5	NULL
Bogue	BEA-1315	2017-01-25 11:46:58	Mauvais usage	0	NULL	NULL
Bogue	BEA-1321	2017-01-31 17:57:22	Terminé	1	2.24.0	0.5
Sous-tâche	BEA-1326	2017-02-02 17:33:08	Terminé	0	NULL	NULL
Sous-tâche	BEA-1328	2017-02-02 17:38:05	Terminé	0	NULL	NULL
Bogue	BEA-1330	2017-02-03 17:14:25	Terminé	1	2.27.0	3
Story	BEA-134	2012-07-16 15:04:13	Won't Do	0	NULL	NULL
Bogue	BEA-1356	2017-02-13 17:17:40	Won't Do	0	NULL	
Story	BEA-1364	2017-02-27 11:05:42	Terminé	1	2.24.0	NULL
Story	BEA-175	2013-11-29 18:28:57	NULL	0	NULL	NULL
Bogue	BEA-237	2015-01-09 16:46:11	NULL	0	NULL	NULL
Bogue	BEA-238	2015-01-16 10:14:56	NULL	0	NULL	NULL
Story	BEA-3	2013-12-03 18:55:14	NULL	0	NULL	NULL
Story	BEA-376	2010-06-21 09:14:50	Won't Do	0	NULL	NULL
